Title,Author,Date,Excerpt
Forty-seven killed in Sunday night attack on Plateau,Nathaniel Gbaoron,"Apr 14, 2025",At least 47 people have been confirmed dead and many others injured following a brutal attack on Zike and Kimakpa...
Naira fall temporary as analysts bet on rebound,Eniola Olatunji,"Apr 14, 2025",The naira has weakened against the dollar on the back of Donald Trump’s tariff turmoil that has triggered uncertainty among...
Nigeria missing in $224bn coffee market on aging trees,Faith Donatus,"Apr 14, 2025","Nigeria appears to be missing in the $224 billion global coffee market due to a combination of aging trees, lack..."
Sesame holds billions in export upside as demand soars,Feyishola Jaiyesimi,"Apr 14, 2025","As Nigeria intensifies its drive to earn more dollars through non-oil exports, stakeholders say processing sesame seeds into higher-value by-products..."
Fintechs outpace telcos in mobile money race,Temitayo Jaiyeola,"Apr 14, 2025","Fintech operators like Opay and PalmPay led Nigeria’s mobile money transactions haul of N79.55 trillion in 2024, a 69.58 percent..."
"‘Nothing new to reveal’, Presidency dismisses US court order on Tinubu drug case files",Taofeek Oyedokun,"Apr 13, 2025",The Nigerian presidency has downplayed the recent US federal court ruling ordering the Federal Bureau of Investigation (FBI) and the...
"Kano Government defends blasphemy laws, rejects ECOWAS Court verdict",Ojochenemi Onje,"Apr 13, 2025","The Kano State Government has firmly rejected a recent ruling by the ECOWAS Court of Justice, which declared aspects of..."
"US court orders FBI, DEA to release records on Tinubu's alleged drug case",Taofeek Oyedokun,"Apr 13, 2025","A US District Court in Washington, D.C., has directed the Federal Bureau of Investigation (FBI) and the Drug Enforcement Administration..."
"B/Haram: EU to spend ₦2.bn to revamp education, vocational training inclusion in Borno, Yobe",Olatunji Omirin,"Apr 13, 2025","The European Union has said it would spend €1.5 million, approximately(₦2.7billion) to support the livelihoods of vulnerable people through diversification..."
Breath of fresh air for customers on estimated billing,Obinna Emelike,"Apr 13, 2025","…As FG begins new phase of metering rollout …Initiative seen bridging gaps in revenue, service When a banker with a..."
Naira’s 3.6% fall against USD ‘reasonable’ compared to peers —JP Morgan,Wasiu Alli,"Apr 11, 2025",Naira’s steep fall against the US dollar over the past week has been ‘reasonable’ compared to other frontier and emerging...
"Financial constraints, last-minute changes delay Tinubu's ambassadorial list",Taofeek Oyedokun,"Apr 11, 2025","The Federal Government has completed the vetting process for individuals nominated to serve in Nigeria’s 109 diplomatic missions worldwide, including..."
Naira blip temporary as analysts bet on rebound,Eniola Olatunji,"Apr 11, 2025","The naira has weakened against the dollar due to Trump’s tariff turmoil and downturn in global oil prices, prompting uncertainty..."
Airlines slash fares to Europe on low travels,Ifeoma Okeke-Korieocha,"Apr 11, 2025","…As global carriers cut forecasts As the aviation industry enters into a low travel season, airlines operating from Nigeria to..."
Cameroonian filmmakers tap Nollywood to revive careers,Anthony Udugba,"Apr 11, 2025",Cameroonian filmmakers are increasingly turning to Nigeria’s thriving Nollywood to revive their careers and reach wider audiences. Cameroon’s film industry...
