Title,Author,Date,Excerpt,Excerpt_cleaned,Excerpt_tokens,polarity,sentiment
Forty-seven killed in Sunday night attack on Plateau,Nathaniel Gbaoron,"Apr 14, 2025",At least 47 people have been confirmed dead and many others injured following a brutal attack on Zike and Kimakpa...,least 47 people confirmed dead many others injured following brutal attack zike kimakpa,"['least', '47', 'people', 'confirmed', 'dead', 'many', 'others', 'injured', 'following', 'brutal', 'attack', 'zike', 'kimakpa']",-0.07916666666666666,Neutral
Naira fall temporary as analysts bet on rebound,Eniola Olatunji,"Apr 14, 2025",The naira has weakened against the dollar on the back of Donald Trump’s tariff turmoil that has triggered uncertainty among...,naira weakened dollar back donald trump ’ tariff turmoil triggered uncertainty among,"['naira', 'weakened', 'dollar', 'back', 'donald', 'trump', '’', 'tariff', 'turmoil', 'triggered', 'uncertainty', 'among']",0.0,Neutral
Nigeria missing in $224bn coffee market on aging trees,Faith Donatus,"Apr 14, 2025","Nigeria appears to be missing in the $224 billion global coffee market due to a combination of aging trees, lack...",nigeria appears missing 224 billion global coffee market due combination aging tree lack,"['nigeria', 'appears', 'missing', '224', 'billion', 'global', 'coffee', 'market', 'due', 'combination', 'aging', 'tree', 'lack']",-0.10833333333333334,Negative
Sesame holds billions in export upside as demand soars,Feyishola Jaiyesimi,"Apr 14, 2025","As Nigeria intensifies its drive to earn more dollars through non-oil exports, stakeholders say processing sesame seeds into higher-value by-products...",nigeria intensifies drive earn dollar nonoil export stakeholder say processing sesame seed highervalue byproduct,"['nigeria', 'intensifies', 'drive', 'earn', 'dollar', 'nonoil', 'export', 'stakeholder', 'say', 'processing', 'sesame', 'seed', 'highervalue', 'byproduct']",0.0,Neutral
Fintechs outpace telcos in mobile money race,Temitayo Jaiyeola,"Apr 14, 2025","Fintech operators like Opay and PalmPay led Nigeria’s mobile money transactions haul of N79.55 trillion in 2024, a 69.58 percent...",fintech operator like opay palmpay led nigeria ’ mobile money transaction haul n7955 trillion 2024 6958 percent,"['fintech', 'operator', 'like', 'opay', 'palmpay', 'led', 'nigeria', '’', 'mobile', 'money', 'transaction', 'haul', 'n7955', 'trillion', '2024', '6958', 'percent']",0.0,Neutral
"‘Nothing new to reveal’, Presidency dismisses US court order on Tinubu drug case files",Taofeek Oyedokun,"Apr 13, 2025",The Nigerian presidency has downplayed the recent US federal court ruling ordering the Federal Bureau of Investigation (FBI) and the...,nigerian presidency downplayed recent u federal court ruling ordering federal bureau investigation fbi,"['nigerian', 'presidency', 'downplayed', 'recent', 'u', 'federal', 'court', 'ruling', 'ordering', 'federal', 'bureau', 'investigation', 'fbi']",0.0,Neutral
"Kano Government defends blasphemy laws, rejects ECOWAS Court verdict",Ojochenemi Onje,"Apr 13, 2025","The Kano State Government has firmly rejected a recent ruling by the ECOWAS Court of Justice, which declared aspects of...",kano state government firmly rejected recent ruling ecowas court justice declared aspect,"['kano', 'state', 'government', 'firmly', 'rejected', 'recent', 'ruling', 'ecowas', 'court', 'justice', 'declared', 'aspect']",-0.1,Neutral
"US court orders FBI, DEA to release records on Tinubu's alleged drug case",Taofeek Oyedokun,"Apr 13, 2025","A US District Court in Washington, D.C., has directed the Federal Bureau of Investigation (FBI) and the Drug Enforcement Administration...",u district court washington dc directed federal bureau investigation fbi drug enforcement administration,"['u', 'district', 'court', 'washington', 'dc', 'directed', 'federal', 'bureau', 'investigation', 'fbi', 'drug', 'enforcement', 'administration']",0.0,Neutral
"B/Haram: EU to spend ₦2.bn to revamp education, vocational training inclusion in Borno, Yobe",Olatunji Omirin,"Apr 13, 2025","The European Union has said it would spend €1.5 million, approximately(₦2.7billion) to support the livelihoods of vulnerable people through diversification...",european union said would spend €15 million approximately₦27billion support livelihood vulnerable people diversification,"['european', 'union', 'said', 'would', 'spend', '€15', 'million', 'approximately₦27billion', 'support', 'livelihood', 'vulnerable', 'people', 'diversification']",-0.25,Negative
Breath of fresh air for customers on estimated billing,Obinna Emelike,"Apr 13, 2025","…As FG begins new phase of metering rollout …Initiative seen bridging gaps in revenue, service When a banker with a...",…as fg begin new phase metering rollout …initiative seen bridging gap revenue service banker,"['…as', 'fg', 'begin', 'new', 'phase', 'metering', 'rollout', '…initiative', 'seen', 'bridging', 'gap', 'revenue', 'service', 'banker']",0.13636363636363635,Positive
Naira’s 3.6% fall against USD ‘reasonable’ compared to peers —JP Morgan,Wasiu Alli,"Apr 11, 2025",Naira’s steep fall against the US dollar over the past week has been ‘reasonable’ compared to other frontier and emerging...,naira ’ steep fall u dollar past week ‘ reasonable ’ compared frontier emerging,"['naira', '’', 'steep', 'fall', 'u', 'dollar', 'past', 'week', '‘', 'reasonable', '’', 'compared', 'frontier', 'emerging']",-0.024999999999999994,Neutral
"Financial constraints, last-minute changes delay Tinubu's ambassadorial list",Taofeek Oyedokun,"Apr 11, 2025","The Federal Government has completed the vetting process for individuals nominated to serve in Nigeria’s 109 diplomatic missions worldwide, including...",federal government completed vetting process individual nominated serve nigeria ’ 109 diplomatic mission worldwide including,"['federal', 'government', 'completed', 'vetting', 'process', 'individual', 'nominated', 'serve', 'nigeria', '’', '109', 'diplomatic', 'mission', 'worldwide', 'including']",0.0,Neutral
Naira blip temporary as analysts bet on rebound,Eniola Olatunji,"Apr 11, 2025","The naira has weakened against the dollar due to Trump’s tariff turmoil and downturn in global oil prices, prompting uncertainty...",naira weakened dollar due trump ’ tariff turmoil downturn global oil price prompting uncertainty,"['naira', 'weakened', 'dollar', 'due', 'trump', '’', 'tariff', 'turmoil', 'downturn', 'global', 'oil', 'price', 'prompting', 'uncertainty']",-0.0625,Neutral
Airlines slash fares to Europe on low travels,Ifeoma Okeke-Korieocha,"Apr 11, 2025","…As global carriers cut forecasts As the aviation industry enters into a low travel season, airlines operating from Nigeria to...",…as global carrier cut forecast aviation industry enters low travel season airline operating nigeria,"['…as', 'global', 'carrier', 'cut', 'forecast', 'aviation', 'industry', 'enters', 'low', 'travel', 'season', 'airline', 'operating', 'nigeria']",0.0,Neutral
Cameroonian filmmakers tap Nollywood to revive careers,Anthony Udugba,"Apr 11, 2025",Cameroonian filmmakers are increasingly turning to Nigeria’s thriving Nollywood to revive their careers and reach wider audiences. Cameroon’s film industry...,cameroonian filmmaker increasingly turning nigeria ’ thriving nollywood revive career reach wider audience cameroon ’ film industry,"['cameroonian', 'filmmaker', 'increasingly', 'turning', 'nigeria', '’', 'thriving', 'nollywood', 'revive', 'career', 'reach', 'wider', 'audience', 'cameroon', '’', 'film', 'industry']",0.0,Neutral
MTN eyes second public offer in Nigeria after recovery,Temitayo Jaiyeola,"Apr 10, 2025",MTN Group has announced plans to reduce its shareholding in MTN Nigeria through a public offer after it returns to...,mtn group announced plan reduce shareholding mtn nigeria public offer return,"['mtn', 'group', 'announced', 'plan', 'reduce', 'shareholding', 'mtn', 'nigeria', 'public', 'offer', 'return']",0.0,Neutral
Relief for Nigerians as Dangote cuts petrol price to N865/litre,Oladehinde Oladipo,"Apr 10, 2025","The Dangote Petroleum Refinery has informed marketers of a reduction in the ex-depot price of premium motor spirit (PMS), commonly...",dangote petroleum refinery informed marketer reduction exdepot price premium motor spirit pm commonly,"['dangote', 'petroleum', 'refinery', 'informed', 'marketer', 'reduction', 'exdepot', 'price', 'premium', 'motor', 'spirit', 'pm', 'commonly']",-0.3,Negative
"Nigeria may miss 70% broadband penetration target by 2025, experts say",BusinessDay,"Apr 10, 2025","With just months to the end of 2025, industry stakeholders have expressed concerns that Nigeria may not achieve its ambitious...",month end 2025 industry stakeholder expressed concern nigeria may achieve ambitious,"['month', 'end', '2025', 'industry', 'stakeholder', 'expressed', 'concern', 'nigeria', 'may', 'achieve', 'ambitious']",0.25,Positive
Remittances hit new level under Cardoso: Highest in 5 yrs,Hope Moses-Ashike,"Apr 10, 2025","Remittance flows into the Nigerian economy rose by nine percent to $20.98 billion in 2024, marking the highest level in...",remittance flow nigerian economy rose nine percent 2098 billion 2024 marking highest level,"['remittance', 'flow', 'nigerian', 'economy', 'rose', 'nine', 'percent', '2098', 'billion', '2024', 'marking', 'highest', 'level']",0.6,Positive
PFAs pump N5.5trn into real sector for high yields,Modestus Anaesoronye,"Apr 10, 2025","…As Stanbic IBTC, Access, NPF outpace others in membership registration Pension Fund Administrators (PFAs) have invested N5.51 trillion in Nigeria’s...",…as stanbic ibtc access npf outpace others membership registration pension fund administrator pfas invested n551 trillion nigeria ’,"['…as', 'stanbic', 'ibtc', 'access', 'npf', 'outpace', 'others', 'membership', 'registration', 'pension', 'fund', 'administrator', 'pfas', 'invested', 'n551', 'trillion', 'nigeria', '’']",0.0,Neutral
Cocoa output to rise on improved investments,Josephine Okojie,"Apr 10, 2025",…As mid-crop production to defy late rains Nigeria’s 2024/2025 mid-crop cocoa output is expected to rise despite delayed rainfall in...,…as midcrop production defy late rain nigeria ’ 20242025 midcrop cocoa output expected rise despite delayed rainfall,"['…as', 'midcrop', 'production', 'defy', 'late', 'rain', 'nigeria', '’', '20242025', 'midcrop', 'cocoa', 'output', 'expected', 'rise', 'despite', 'delayed', 'rainfall']",-0.2,Negative
Petrol price seen dropping as naira-for-crude deal to continue,Abubakar Ibrahim,"Apr 10, 2025",The federal government has said that the naira-for-crude deal with local refiners will continue. Analysts say the deal will likely...,federal government said nairaforcrude deal local refiner continue analyst say deal likely,"['federal', 'government', 'said', 'nairaforcrude', 'deal', 'local', 'refiner', 'continue', 'analyst', 'say', 'deal', 'likely']",0.0,Neutral
Oil prices hit pandemic level in threat to Nigeria’s revenue,Dipo Oladehinde,"Apr 10, 2025","Nigeria’s economy is facing a renewed strain as global oil prices plummet, reaching levels reminiscent of the devastating downturn experienced...",nigeria ’ economy facing renewed strain global oil price plummet reaching level reminiscent devastating downturn experienced,"['nigeria', '’', 'economy', 'facing', 'renewed', 'strain', 'global', 'oil', 'price', 'plummet', 'reaching', 'level', 'reminiscent', 'devastating', 'downturn', 'experienced']",-0.04999999999999999,Neutral
